"fiscalyear","dist","district_name","source","expenditures_per_pupil","amount","enrollment_category","enrollment_category_number","topic","proficient","total","percent_proficient","proficient_category"
2017,"6867","Webster City","Instruction",7769,11880962,"1,000-2,499","4","Reading",77,102,"75.50","70.1 - 80%"
2017,"6921","West Bend-Mallard","Instruction",8688,2789693,"300-599","2","Reading",21,26,"80.80","80.1 - 90%"
2017,"6930","West Branch","Instruction",7685,5910568,"600-999","3","Reading",53,61,"86.90","80.1 - 90%"
2017,"6937","West Burlington Ind","Instruction",12099,5714525,"300-599","2","Reading",56,62,"90.30","90.1 - 100%"
2017,"6943","West Central","Instruction",8109,2247842,"<300","1","Reading",11,15,"73.30","70.1 - 80%"
2017,"6264","West Central Valley","Instruction",7593,6964375,"600-999","3","Reading",41,48,"85.40","80.1 - 90%"
2017,"6950","West Delaware County","Instruction",7408,11149922,"1,000-2,499","4","Reading",95,107,"88.80","80.1 - 90%"
2017,"6957","West Des Moines","Instruction",8073,72754654,"7,500+","6","Reading",508,638,"79.60","70.1 - 80%"
2017,"5922","West Fork","Instruction",8802,5951034,"600-999","3","Reading",36,48,"75.00","70.1 - 80%"
2017,"0819","West Hancock","Instruction",7710,4641145,"600-999","3","Reading",28,34,"82.40","80.1 - 90%"
2017,"6969","West Harrison","Instruction",8667,2960713,"300-599","2","Reading",21,28,"75.00","70.1 - 80%"
2017,"6975","West Liberty","Instruction",7666,9663556,"1,000-2,499","4","Reading",66,97,"68.00","60.1 - 70%"
2017,"6983","West Lyon","Instruction",7326,6651782,"600-999","3","Reading",61,63,"96.80","90.1 - 100%"
2017,"6985","West Marshall","Instruction",6744,5863500,"600-999","3","Reading",56,66,"84.80","80.1 - 90%"
2017,"6987","West Monona","Instruction",6761,4678110,"600-999","3","Reading",28,35,"80.00","70.1 - 80%"
2017,"6990","West Sioux","Instruction",8400,6880134,"600-999","3","Reading",38,45,"84.40","80.1 - 90%"
2017,"6961","Western Dubuque","Instruction",7734,23595150,"2,500-7,499","5","Reading",242,307,"78.80","70.1 - 80%"
2017,"6992","Westwood","Instruction",8624,4536282,"300-599","2","Reading",32,38,"84.20","80.1 - 90%"
2017,"7002","Whiting","Instruction",9710,1802267,"<300","1","Reading",10,10,"100.00","90.1 - 100%"
2017,"7029","Williamsburg","Instruction",7273,8335899,"1,000-2,499","4","Reading",83,90,"92.20","90.1 - 100%"
2017,"7038","Wilton","Instruction",7173,5731862,"600-999","3","Reading",40,53,"75.50","70.1 - 80%"
2017,"7047","Winfield-Mt Union","Instruction",8463,3030528,"300-599","2","Reading",22,31,"71.00","70.1 - 80%"
2017,"7056","Winterset","Instruction",7105,12239214,"1,000-2,499","4","Reading",81,110,"73.60","70.1 - 80%"
2017,"7092","Woodbine","Instruction",7335,3492169,"300-599","2","Reading",13,19,"68.40","60.1 - 70%"
2017,"7098","Woodbury Central","Instruction",8567,4723611,"300-599","2","Reading",34,45,"75.60","70.1 - 80%"
2017,"7110","Woodward-Granger","Instruction",8385,7773950,"600-999","3","Reading",42,49,"85.70","80.1 - 90%"
